DATE                      TIME                      FRAC_DAYS_SINCE_JAN1      FRAC_HRS_SINCE_JAN1       JULIAN_DAYS               EPOCH_TIME                ALARM_STATUS              INST_STATUS               MPVPosition               solenoid_valves           N2O_dry                   CO2_dry                   CH4_dry                   H2O                       NH3                       CHAMBER_TEMP              SOIL_TEMP                 CHAMBER_PRESSURE          SWITCH                    
2021-06-29                18:36:44.099              179.73384375              4313.612250               180.73384375              1624984604.100            0                         963                       0.0000000000E+00          3.4000000000E+01          3.5080265689E-01          4.2099019922E+02          1.9651592162E+00          2.1030638895E-01          1.4205078385E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2021-06-29                18:36:44.911              179.73385315              4313.612476               180.73385315              1624984604.912            0                         963                       0.0000000000E+00          3.4000000000E+01          3.5080542242E-01          4.2099436673E+02          1.9651656442E+00          2.1055138209E-01          1.4447910056E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2021-06-29                18:36:45.420              179.73385903              4313.612617               180.73385903              1624984605.420            0                         963                       0.0000000000E+00          3.4000000000E+01          3.4842320264E-01          4.2099697141E+02          1.9651696733E+00          2.1070465628E-01          1.4599615898E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2021-06-29                18:36:45.973              179.73386544              4313.612771               180.73386544              1624984605.974            0                         963                       0.0000000000E+00          3.4000000000E+01          3.4581408699E-01          4.2099379612E+02          1.9651533151E+00          2.1004375467E-01          1.4806586937E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2021-06-29                18:36:47.036              179.73387774              4313.613066               180.73387774              1624984607.037            0                         963                       0.0000000000E+00          3.4000000000E+01          3.4080728733E-01          4.2089229703E+02          1.9651220868E+00          2.0877852272E-01          1.5203696821E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2021-06-29                18:36:47.844              179.73388708              4313.613290               180.73388708              1624984607.844            0                         963                       0.0000000000E+00          3.4000000000E+01          3.4079332347E-01          4.2081524935E+02          1.9650983695E+00          2.0781806150E-01          1.5505510717E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2021-06-29                18:36:48.237              179.73389164              4313.613399               180.73389164              1624984608.238            0                         963                       0.0000000000E+00          3.4000000000E+01          3.4524979849E-01          4.2077763849E+02          1.9650867765E+00          2.0734915776E-01          1.5653264419E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2021-06-29                18:36:49.365              179.73390469              4313.613713               180.73390469              1624984609.365            0                         963                       0.0000000000E+00          3.4000000000E+01          3.5799672028E-01          4.2067006018E+02          1.9650558295E+00          2.0600798082E-01          1.6075899996E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2021-06-29                18:36:50.171              179.73391403              4313.613937               180.73391403              1624984610.172            0                         963                       0.0000000000E+00          3.4000000000E+01          3.5798246822E-01          4.2059302120E+02          1.9650337011E+00          2.0504769074E-01          1.6377713884E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2021-06-29                18:36:50.684              179.73391995              4313.614079               180.73391995              1624984610.684            0                         963                       0.0000000000E+00          3.4000000000E+01          3.5613568748E-01          4.2054414346E+02          1.9650196686E+00          2.0443846731E-01          1.6569034690E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2021-06-29                18:36:51.240              179.73392639              4313.614233               180.73392639              1624984611.240            0                         963                       0.0000000000E+00          3.4000000000E+01          3.5415219165E-01          4.2050237718E+02          1.9650435146E+00          2.0533614958E-01          1.6393409456E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2021-06-29                18:36:52.286              179.73393850              4313.614524               180.73393850              1624984612.286            0                         963                       0.0000000000E+00          3.4000000000E+01          3.5042161448E-01          4.2058466756E+02          1.9650881166E+00          2.0702035868E-01          1.6063041102E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2021-06-29                18:36:53.112              179.73394807              4313.614754               180.73394807              1624984613.113            0                         963                       0.0000000000E+00          3.4000000000E+01          3.5044053400E-01          4.2064973646E+02          1.9651233753E+00          2.0835207481E-01          1.5802107492E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2021-06-29                18:36:53.486              179.73395238              4313.614857               180.73395238              1624984613.486            0                         963                       0.0000000000E+00          3.4000000000E+01          3.5054593779E-01          4.2067908570E+02          1.9651392789E+00          2.0895275310E-01          1.5684427852E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2021-06-29                18:36:54.619              179.73396551              4313.615172               180.73396551              1624984614.620            0                         963                       0.0000000000E+00          3.4000000000E+01          3.5086642712E-01          4.2076831294E+02          1.9650725275E+00          2.1077907724E-01          1.5326657106E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
