DATE                      TIME                      FRAC_DAYS_SINCE_JAN1      FRAC_HRS_SINCE_JAN1       JULIAN_DAYS               EPOCH_TIME                ALARM_STATUS              INST_STATUS               CavityPressure            CavityTemp                DasTemp                   EtalonTemp                WarmBoxTemp               species                   MPVPosition               InletValve                OutletValve               solenoid_valves           NH3_Raw                   NH3_30s                   NH3_2min                  NH3_5min                  H2O                       NH3_dry                   NH3_uncorrected           NH3_broadeningCorrected   peak15                    
2021-07-15                11:32:54.733              195.52285572              4692.548537               196.52285572              1626348774.734            0                         963                       1.3999856119E+02          4.4999385834E+01          4.3062500000E+01          4.4975257111E+01          4.5000733948E+01          2.0000000000E+00          0.0000000000E+00          5.0000000000E+04          4.7392811353E+04          2.0000000000E+00          1.0402752023E+00          9.5860565707E-01          9.7017189316E-01          9.6823146635E-01          2.1770205277E-01          1.0402752023E+00          9.9594364720E-01          1.0379605258E+00          1.4037011001E+01          
2021-07-15                11:32:56.119              195.52287176              4692.548922               196.52287176              1626348776.120            0                         963                       1.4005703786E+02          4.4999259949E+01          4.3062500000E+01          4.4975181580E+01          4.5000633240E+01          4.0000000000E+00          0.0000000000E+00          5.0000000000E+04          4.7409199025E+04          2.0000000000E+00          9.8621504774E-01          9.6347283358E-01          9.7239082177E-01          9.7089521285E-01          2.1770205277E-01          9.8621504774E-01          9.4315292395E-01          9.8406803734E-01          1.4037011001E+01          
2021-07-15                11:32:57.917              195.52289256              4692.549421               196.52289256              1626348777.917            0                         963                       1.4002269951E+02          4.4999259949E+01          4.3062500000E+01          4.4975181580E+01          4.5000633240E+01          4.0000000000E+00          0.0000000000E+00          5.0000000000E+04          4.7412643970E+04          2.0000000000E+00          8.3747230908E-01          9.5821200393E-01          9.7028272001E-01          9.7005607509E-01          2.1770205277E-01          8.3747230908E-01          7.9529461112E-01          8.3564911467E-01          1.4037011001E+01          
2021-07-15                11:32:59.710              195.52291331              4692.549919               196.52291331              1626348779.710            0                         963                       1.4001060823E+02          4.4999318118E+01          4.3086325967E+01          4.4975135044E+01          4.5000633240E+01          4.0000000000E+00          0.0000000000E+00          5.0000000000E+04          4.7415946942E+04          2.0000000000E+00          1.0677217391E+00          9.6129056501E-01          9.6960386062E-01          9.7136118973E-01          2.1770205277E-01          1.0677217391E+00          1.0241749757E+00          1.0653972870E+00          1.4037011001E+01          
2021-07-15                11:33:01.509              195.52293413              4692.550419               196.52293413              1626348781.509            0                         963                       1.4001926557E+02          4.4999412537E+01          4.3106008287E+01          4.4975059509E+01          4.5000633240E+01          4.0000000000E+00          0.0000000000E+00          5.0000000000E+04          4.7419094797E+04          2.0000000000E+00          8.6380140916E-01          9.5364680732E-01          9.6777816586E-01          9.7140506680E-01          2.1770205277E-01          8.6380140916E-01          8.2146715811E-01          8.6192089577E-01          1.4037011001E+01          
2021-07-15                11:33:03.315              195.52295503              4692.550921               196.52295503              1626348783.315            0                         963                       1.3998752885E+02          4.4999412537E+01          4.3090642265E+01          4.4975059509E+01          4.5000633240E+01          4.0000000000E+00          0.0000000000E+00          5.0000000000E+04          4.7416321834E+04          2.0000000000E+00          1.0073660388E+00          9.6884776975E-01          9.6892030490E-01          9.7144261941E-01          2.1770205277E-01          1.0073660388E+00          9.6417815096E-01          1.0051729822E+00          1.4037011001E+01          
2021-07-15                11:33:05.107              195.52297578              4692.551419               196.52297578              1626348785.107            0                         963                       1.3997937496E+02          4.4999260792E+01          4.3062500000E+01          4.4975059509E+01          4.5000519431E+01          4.0000000000E+00          0.0000000000E+00          5.0000000000E+04          4.7410085290E+04          2.0000000000E+00          9.9080105763E-01          9.7013913962E-01          9.6942609741E-01          9.7156360965E-01          2.1770205277E-01          9.9080105763E-01          9.4771166538E-01          9.8864406339E-01          1.4037011001E+01          
2021-07-15                11:33:06.913              195.52299668              4692.551920               196.52299668              1626348786.913            0                         963                       1.4000058333E+02          4.4999168396E+01          4.3062500000E+01          4.4975059509E+01          4.5000450134E+01          4.0000000000E+00          0.0000000000E+00          5.0000000000E+04          4.7412712804E+04          2.0000000000E+00          1.0766674870E+00          9.7210183045E-01          9.6997802112E-01          9.7232308086E-01          2.1770205277E-01          1.0766674870E+00          1.0330675321E+00          1.0743235598E+00          1.4037011001E+01          
2021-07-15                11:33:08.704              195.52301742              4692.552418               196.52301742              1626348788.705            0                         963                       1.3999816165E+02          4.4999168396E+01          4.3062500000E+01          4.4975059509E+01          4.5000450134E+01          4.0000000000E+00          0.0000000000E+00          5.0000000000E+04          4.7415545580E+04          2.0000000000E+00          1.0780426129E+00          9.8560615868E-01          9.7567798622E-01          9.7272156576E-01          2.1770205277E-01          1.0780426129E+00          1.0344344814E+00          1.0756956920E+00          1.4037011001E+01          
2021-07-15                11:33:10.483              195.52303800              4692.552912               196.52303800              1626348790.483            0                         963                       1.3988090448E+02          4.4999194108E+01          4.3062500000E+01          4.4974905235E+01          4.5000450134E+01          4.0000000000E+00          0.0000000000E+00          5.0000000000E+04          4.7385394607E+04          2.0000000000E+00          1.2169476711E+00          1.0040980128E+00          9.7919811551E-01          9.7403250129E-01          2.1770205277E-01          1.2169476711E+00          1.1725136088E+00          1.2142983510E+00          1.4037011001E+01          
