DATE                      TIME                      FRAC_DAYS_SINCE_JAN1      FRAC_HRS_SINCE_JAN1       JULIAN_DAYS               EPOCH_TIME                ALARM_STATUS              INST_STATUS               CavityPressure            CavityTemp                DasTemp                   EtalonTemp                WarmBoxTemp               species                   MPVPosition               InletValve                OutletValve               solenoid_valves           NH3_Raw                   NH3_30s                   NH3_2min                  NH3_5min                  H2O                       NH3_dry                   NH3_uncorrected           NH3_broadeningCorrected   peak15                    
2021-07-14                17:30:20.648              194.77107231              4674.505736               195.77107231              1626283820.648            0                         963                       1.4005162048E+02          4.4999402083E+01          4.5312500000E+01          4.4973143983E+01          4.4999898457E+01          4.0000000000E+00          0.0000000000E+00          5.0000000000E+04          4.6740572287E+04          2.0000000000E+00          1.6383810920E+00          1.6696437287E+00          1.6322629034E+00          1.6428887060E+00          2.1511498605E-01          1.6383810920E+00          1.5919940131E+00          1.6348566887E+00          1.3871980594E+01          
2021-07-14                17:30:22.453              194.77109321              4674.506237               195.77109321              1626283822.453            0                         963                       1.4001002182E+02          4.4999382019E+01          4.5312500000E+01          4.4973136902E+01          4.4999900818E+01          4.0000000000E+00          0.0000000000E+00          5.0000000000E+04          4.6736298817E+04          2.0000000000E+00          1.8509716066E+00          1.6814276075E+00          1.6350329924E+00          1.6447602941E+00          2.1511498605E-01          1.8509716066E+00          1.8033354493E+00          1.8469898892E+00          1.3871980594E+01          
2021-07-14                17:30:24.243              194.77111394              4674.506734               195.77111394              1626283824.244            0                         963                       1.4002054356E+02          4.4999458735E+01          4.5312500000E+01          4.4973190013E+01          4.4999871312E+01          4.0000000000E+00          0.0000000000E+00          5.0000000000E+04          4.6761965286E+04          2.0000000000E+00          1.7238452366E+00          1.6879177598E+00          1.6346646280E+00          1.6445251147E+00          2.1511498605E-01          1.7238452366E+00          1.6769560120E+00          1.7201369871E+00          1.3871980594E+01          
2021-07-14                17:30:26.029              194.77113461              4674.507231               195.77113461              1626283826.030            0                         963                       1.4003936228E+02          4.4999778748E+01          4.5312500000E+01          4.4973411560E+01          4.4999748230E+01          4.0000000000E+00          0.0000000000E+00          5.0000000000E+04          4.6751186227E+04          2.0000000000E+00          1.5851658455E+00          1.6778901404E+00          1.6334241186E+00          1.6440572916E+00          2.1511498605E-01          1.5851658455E+00          1.5390914335E+00          1.5817559162E+00          1.3871980594E+01          
2021-07-14                17:30:27.823              194.77115537              4674.507729               195.77115537              1626283827.824            0                         963                       1.4002230793E+02          4.4999778748E+01          4.5312500000E+01          4.4973411560E+01          4.4999748230E+01          4.0000000000E+00          0.0000000000E+00          5.0000000000E+04          4.6741391165E+04          2.0000000000E+00          1.6411939328E+00          1.6757315399E+00          1.6361880275E+00          1.6440393957E+00          2.1511498605E-01          1.6411939328E+00          1.5947903270E+00          1.6376634787E+00          1.3871980594E+01          
2021-07-14                17:30:29.617              194.77117612              4674.508227               195.77117612              1626283829.617            0                         963                       1.4017611328E+02          4.4999617645E+01          4.5312500000E+01          4.4973374383E+01          4.4999760622E+01          4.0000000000E+00          0.0000000000E+00          5.0000000000E+04          4.6795862235E+04          2.0000000000E+00          1.9168016988E+00          1.6819643919E+00          1.6393249647E+00          1.6453168988E+00          2.1511498605E-01          1.9168016988E+00          1.8687787559E+00          1.9126783711E+00          1.3871980594E+01          
2021-07-14                17:30:31.407              194.77119685              4674.508724               195.77119685              1626283831.408            0                         963                       1.3994734420E+02          4.4999382019E+01          4.5312500000E+01          4.4973320007E+01          4.4999778748E+01          4.0000000000E+00          0.0000000000E+00          5.0000000000E+04          4.6773945442E+04          2.0000000000E+00          1.4364769036E+00          1.6663222703E+00          1.6384069894E+00          1.6453050011E+00          2.1511498605E-01          1.4364769036E+00          1.3912761156E+00          1.4333868266E+00          1.3871980594E+01          
2021-07-14                17:30:33.200              194.77121759              4674.509222               195.77121759              1626283833.200            0                         963                       1.3998339254E+02          4.4999382019E+01          4.5312500000E+01          4.4973320007E+01          4.4999778748E+01          4.0000000000E+00          0.0000000000E+00          5.0000000000E+04          4.6770409250E+04          2.0000000000E+00          1.7870657267E+00          1.6642419917E+00          1.6402585096E+00          1.6448688381E+00          2.1511498605E-01          1.7870657267E+00          1.7398050492E+00          1.7832214805E+00          1.3871980594E+01          
2021-07-14                17:30:34.996              194.77123839              4674.509721               195.77123839              1626283834.997            0                         963                       1.3997560647E+02          4.4999305472E+01          4.5312500000E+01          4.4973224324E+01          4.4999759611E+01          4.0000000000E+00          0.0000000000E+00          5.0000000000E+04          4.6772508514E+04          2.0000000000E+00          1.8151448706E+00          1.6759748299E+00          1.6429490690E+00          1.6460304027E+00          2.1511498605E-01          1.8151448706E+00          1.7677192138E+00          1.8112402220E+00          1.3871980594E+01          
2021-07-14                17:30:36.793              194.77125919              4674.510221               195.77125919              1626283836.794            0                         963                       1.3994185145E+02          4.4999259949E+01          4.5312500000E+01          4.4973167419E+01          4.4999748230E+01          4.0000000000E+00          0.0000000000E+00          5.0000000000E+04          4.6748980965E+04          2.0000000000E+00          1.7037573643E+00          1.6864999225E+00          1.6410233893E+00          1.6458612843E+00          2.1511498605E-01          1.7037573643E+00          1.6569861663E+00          1.7000923269E+00          1.3871980594E+01          
