DATE                      TIME                      FRAC_DAYS_SINCE_JAN1      FRAC_HRS_SINCE_JAN1       JULIAN_DAYS               EPOCH_TIME                ALARM_STATUS              INST_STATUS               CavityPressure            CavityTemp                DasTemp                   EtalonTemp                WarmBoxTemp               species                   MPVPosition               InletValve                OutletValve               solenoid_valves           NH3_Raw                   NH3_30s                   NH3_2min                  NH3_5min                  H2O                       NH3_dry                   NH3_uncorrected           NH3_broadeningCorrected   peak15                    
2021-06-29                06:06:22.819              179.29609745              4303.106339               180.29609745              1624946782.820            0                         963                       1.4000343711E+02          4.5003349304E+01          4.0437500000E+01          4.4976341248E+01          4.5001457214E+01          4.0000000000E+00          0.0000000000E+00          5.0000000000E+04          4.7040105587E+04          2.0000000000E+00          5.4587813175E-01          6.7572776732E-01          6.3695328517E-01          6.2847413488E-01          1.8633824006E-01          5.4587813175E-01          5.1121033450E-01          5.4486095205E-01          1.2033464705E+01          
2021-06-29                06:06:24.618              179.29611826              4303.106838               180.29611826              1624946784.618            0                         963                       1.3999146730E+02          4.5003299144E+01          4.0437500000E+01          4.4976331216E+01          4.5001457214E+01          4.0000000000E+00          0.0000000000E+00          5.0000000000E+04          4.7037951496E+04          2.0000000000E+00          6.8195145913E-01          6.7822646688E-01          6.4130895482E-01          6.2890513603E-01          1.8633824006E-01          6.8195145913E-01          6.4659090004E-01          6.8068072278E-01          1.2033464705E+01          
2021-06-29                06:06:26.062              179.29613499              4303.107240               180.29613499              1624946786.063            0                         963                       1.4001910934E+02          4.5003196716E+01          4.0437500000E+01          4.4976310730E+01          4.5001457214E+01          2.0000000000E+00          0.0000000000E+00          5.0000000000E+04          4.7041144141E+04          2.0000000000E+00          6.8195145913E-01          6.7822646688E-01          6.4130895482E-01          6.2890513603E-01          1.8168432887E-01          6.8195145913E-01          6.4659090004E-01          6.8068072278E-01          1.1735641412E+01          
2021-06-29                06:06:27.453              179.29615109              4303.107626               180.29615109              1624946787.454            0                         963                       1.4002879599E+02          4.5003196716E+01          4.0437500000E+01          4.4976310730E+01          4.5001457214E+01          4.0000000000E+00          0.0000000000E+00          5.0000000000E+04          4.7047775509E+04          2.0000000000E+00          7.7131304461E-01          6.9068594506E-01          6.3799791776E-01          6.3032948016E-01          1.8168432887E-01          7.7131304461E-01          7.3638465360E-01          7.6991168969E-01          1.1735641412E+01          
2021-06-29                06:06:29.250              179.29617187              4303.108125               180.29617187              1624946789.250            0                         963                       1.3999402981E+02          4.5003259100E+01          4.0437500000E+01          4.4976341922E+01          4.5001457214E+01          4.0000000000E+00          0.0000000000E+00          5.0000000000E+04          4.7044950578E+04          2.0000000000E+00          4.5340438725E-01          6.6639765160E-01          6.3386061715E-01          6.2863318398E-01          1.8168432887E-01          4.5340438725E-01          4.2005415388E-01          4.5258062253E-01          1.1735641412E+01          
2021-06-29                06:06:31.046              179.29619266              4303.108624               180.29619266              1624946791.046            0                         963                       1.4001016476E+02          4.5003501892E+01          4.0437500000E+01          4.4976463318E+01          4.5001457214E+01          4.0000000000E+00          0.0000000000E+00          5.0000000000E+04          4.7047920559E+04          2.0000000000E+00          3.6072936992E-01          6.5573194270E-01          6.2959294141E-01          6.2740986971E-01          1.8168432887E-01          3.6072936992E-01          3.2783919256E-01          3.6007398119E-01          1.1735641412E+01          
2021-06-29                06:06:32.832              179.29621334              4303.109120               180.29621334              1624946792.833            0                         963                       1.4001642731E+02          4.5003501892E+01          4.0437500000E+01          4.4976463318E+01          4.5001457214E+01          4.0000000000E+00          0.0000000000E+00          5.0000000000E+04          4.7052681802E+04          2.0000000000E+00          5.8344311262E-01          6.3645927910E-01          6.2857466663E-01          6.2653631916E-01          1.8168432887E-01          5.8344311262E-01          5.4944734286E-01          5.8238308791E-01          1.1735641412E+01          
2021-06-29                06:06:34.632              179.29623418              4303.109620               180.29623418              1624946794.633            0                         963                       1.3998117626E+02          4.5003442206E+01          4.0437500000E+01          4.4976433475E+01          4.5001561665E+01          4.0000000000E+00          0.0000000000E+00          5.0000000000E+04          4.7048360184E+04          2.0000000000E+00          6.0346952689E-01          6.3573790382E-01          6.2888048177E-01          6.2639124499E-01          1.8168432887E-01          6.0346952689E-01          5.6937434229E-01          6.0237311733E-01          1.1735641412E+01          
2021-06-29                06:06:36.434              179.29625502              4303.110121               180.29625502              1624946796.434            0                         963                       1.3999264341E+02          4.5003379822E+01          4.0437500000E+01          4.4976402283E+01          4.5001670837E+01          4.0000000000E+00          0.0000000000E+00          5.0000000000E+04          4.7044849210E+04          2.0000000000E+00          7.6899651955E-01          6.4357664592E-01          6.3439661036E-01          6.2711825215E-01          1.8168432887E-01          7.6899651955E-01          7.3407962820E-01          7.6759937338E-01          1.1735641412E+01          
2021-06-29                06:06:38.217              179.29627566              4303.110616               180.29627566              1624946798.217            0                         963                       1.4001661986E+02          4.5003379822E+01          4.0437500000E+01          4.4976402283E+01          4.5001670837E+01          4.0000000000E+00          0.0000000000E+00          5.0000000000E+04          4.7048014870E+04          2.0000000000E+00          5.8830822190E-01          6.3068500635E-01          6.3433424356E-01          6.2578633118E-01          1.8168432887E-01          5.8830822190E-01          5.5428830083E-01          5.8723935806E-01          1.1735641412E+01          
